Idx,numbers,categorys,times,dates
28702,12,12,1,4
28705,9,9,1,66
28709,12,12,1,9
2871,12,11,2,4
28710,13,13,1,5
28713,12,12,1,11
28715,12,12,1,12
28718,18,15,1,12
28720,12,12,1,21
28729,30,19,4,36
28731,15,13,1,13
28732,15,14,3,58
28738,12,12,1,6
28742,12,12,1,5
28746,13,13,2,3
28747,12,12,1,5
28749,13,13,2,4
2875,14,14,2,48
28756,17,13,1,7
28759,13,13,1,3
2876,12,11,2,1
28761,12,12,1,12
28763,12,12,1,13
2877,13,11,3,0
28772,12,12,1,5
28775,13,13,1,6
28776,14,13,2,10
28781,12,12,1,9
28787,12,12,1,9
28789,12,12,1,5
2879,13,11,2,5
28791,12,12,1,4
28794,12,12,1,9
28799,13,13,1,5
28804,29,16,2,13
28805,12,12,1,4
28808,22,16,2,25
28809,12,12,1,7
2881,11,11,1,9
28810,12,12,1,9
28814,34,16,2,8
28815,14,13,2,5
28817,12,12,1,10
28822,12,12,1,11
28823,13,13,1,6
28829,22,16,2,5
28831,12,12,1,6
28832,15,13,1,4
28835,12,12,1,13
2885,14,12,1,2
28853,12,12,1,10
28855,12,12,1,3
28857,12,12,1,17
28859,12,12,1,6
28869,14,14,1,9
28871,12,12,1,3
28876,12,12,1,5
28882,12,12,1,13
28884,12,12,1,6
28885,13,13,2,7
28888,12,12,1,6
28889,11,11,1,6
28891,16,14,2,3
28892,12,12,1,6
28899,12,12,1,11
28902,14,13,1,11
28906,12,12,1,27
28911,12,12,1,6
28915,14,13,1,5
28920,12,12,1,10
28924,11,11,1,6
28929,16,13,2,1
28931,21,15,2,15
28933,12,12,1,11
28936,19,15,2,7
28941,15,14,3,8
2895,13,11,2,1
28950,9,9,1,50
28957,12,12,1,6
28959,12,12,1,11
2896,11,11,1,32
28960,14,13,2,4
28961,12,12,1,6
28963,12,12,1,10
28966,12,12,1,9
28968,13,12,1,6
28971,12,12,1,9
28972,18,13,1,6
28979,14,14,2,2
2898,18,13,3,0
28983,12,12,1,12
28984,12,12,1,9
2899,12,12,2,1
28992,13,13,1,12
28997,15,14,1,12
29,17,13,2,4
290,21,13,2,3
29001,10,9,1,94
29006,12,12,1,6
29010,12,12,1,10
29011,15,13,2,1
29016,12,12,1,12
29018,12,12,1,5
29019,13,13,1,5
29020,12,12,1,6
29021,12,12,1,5
29030,29,15,3,10
29034,12,12,1,4
29038,12,12,1,5
29044,12,12,1,28
29046,14,13,2,13
29047,13,13,1,11
29054,12,12,1,4
29055,12,12,1,10
29058,12,12,1,4
29064,18,15,2,5
29070,14,12,2,1
29072,26,13,2,11
29089,12,12,1,12
29090,12,12,1,4
29092,24,12,1,12
29094,12,12,1,8
2910,13,13,2,2
29105,18,14,2,13
29107,12,12,1,6
29113,12,12,1,4
29121,12,12,1,8
29125,12,12,1,9
29127,27,18,2,11
2913,14,13,2,17
29130,12,12,1,4
29132,12,12,1,11
29136,12,12,1,5
29139,17,16,2,17
29143,12,12,1,8
29146,13,13,2,4
29147,12,12,1,8
29149,12,12,1,10
29156,13,13,1,5
2916,13,12,2,2
29161,12,12,1,8
29163,12,12,1,8
29173,12,12,1,10
29174,14,12,1,5
29176,12,12,1,9
29179,12,12,1,4
2918,12,11,1,2
29181,12,12,1,8
29184,14,13,1,12
29185,13,12,2,18
29199,10,9,1,143
292,23,17,2,346
29200,12,12,1,10
29203,15,13,1,8
29206,12,12,1,10
2921,16,13,3,7
29213,23,18,2,5
29214,13,13,1,7
29215,12,12,1,8
29216,11,11,1,11
29220,12,12,1,8
29221,12,12,1,10
29223,25,13,1,5
29227,26,13,1,8
2923,20,14,4,25
29231,13,13,1,12
29234,13,13,2,4
29235,12,12,1,11
29238,13,13,1,8
29246,12,12,1,10
29253,37,15,3,6
29254,12,12,1,8
29256,21,16,3,11
2926,12,11,1,3
29264,12,12,1,5
29265,12,12,1,10
29266,16,13,2,4
2927,15,11,2,4
29270,12,12,1,11
29276,13,13,1,4
29287,12,12,1,8
29290,12,12,1,8
29294,12,12,1,6
29295,12,12,1,8
29298,13,13,2,11
293,24,13,4,24
29300,12,12,1,12
29301,26,14,2,8
29302,22,15,5,1
29307,19,13,4,132
29312,14,13,3,8
29314,12,12,1,5
29317,13,13,2,8
2932,12,11,2,2
29320,12,12,1,9
29323,15,14,2,5
29327,12,12,1,7
29328,12,12,1,8
29332,13,13,1,4
29335,12,12,1,7
29341,12,12,1,8
29342,13,12,2,2
29343,12,12,1,7
29344,12,12,1,8
29345,12,12,1,7
29347,12,12,1,8
29349,13,13,2,5
2935,14,11,3,2
29353,13,13,1,7
29360,12,12,1,7
29362,12,12,1,4
29364,12,12,1,8
29367,13,13,1,19
29369,12,12,1,7
29370,14,13,2,11
29371,15,12,1,4
29372,15,15,2,13
29373,24,18,2,361
29375,12,12,1,4
29377,13,13,1,4
29378,12,12,1,4
2938,11,11,1,2
29381,8,7,1,409
29391,12,12,1,8
29404,12,12,1,4
29406,11,11,1,7
29411,13,13,1,4
29412,13,13,2,1
29416,13,13,1,7
29418,12,12,1,7
2942,11,11,1,9
29430,12,12,1,7
29433,12,12,1,6
29434,12,12,1,7
29436,16,13,2,3
29438,16,15,3,1
29439,12,12,1,9
2944,12,11,2,6
29441,12,12,1,8
29442,13,10,2,10
29444,12,12,1,5
29449,11,11,1,4
29454,18,17,2,22
29459,13,13,1,9
29460,12,12,1,7
29464,12,12,1,7
29465,17,14,3,13
29466,31,23,5,18
29470,13,13,1,7
29471,12,12,1,5
29472,12,12,1,2
29477,24,12,1,10
29479,12,12,1,7
29495,12,12,1,7
29499,12,12,1,4
29500,12,12,1,7
29502,12,12,1,9
29508,12,12,1,7
29512,12,12,1,11
29514,12,12,1,8
29515,16,15,2,439
29516,12,12,1,11
29524,13,12,1,7
29527,12,11,1,159
29532,17,15,2,96
29534,16,15,1,10
29541,12,12,1,4
29545,12,12,1,7
29548,12,12,1,10
29552,13,13,2,1
29554,14,12,1,7
29556,12,12,1,4
29559,20,13,5,17
29561,12,12,1,15
29562,22,17,3,6
29569,12,12,1,8
29571,12,12,1,17
29576,13,13,1,11
29580,12,12,1,10
29585,13,13,1,4
29587,35,19,2,529
29589,12,12,1,7
29590,18,15,1,8
29605,20,15,4,2
29606,12,12,1,15
29612,12,12,1,9
29615,9,9,1,36
29616,14,13,3,2
2962,13,11,2,2
29623,12,12,1,4
29627,12,12,1,4
29628,12,12,1,11
2963,11,11,2,7
29630,12,12,1,8
29632,12,12,1,4
29634,12,12,1,7
29636,12,12,1,9
2964,11,11,1,8
29640,11,11,1,203
29646,13,12,2,2
29650,12,12,1,8
29651,20,14,3,39
29653,18,16,4,3
29661,12,12,1,6
29662,13,13,1,6
29664,12,12,1,6
29665,11,11,1,173
29666,14,13,2,8
2967,12,11,1,3
29675,12,12,1,42
2968,26,12,6,10
29682,14,13,2,4
29684,13,13,1,3
29688,12,12,1,8
2969,12,11,2,2
29692,12,12,1,3
29696,12,12,1,6
29697,13,12,2,5
29700,20,14,2,10
29701,11,11,1,6
29704,43,19,3,146
29707,12,12,1,3
29710,13,11,3,51
29715,12,12,1,5
29717,13,13,1,8
29719,12,12,1,7
2972,11,11,1,2
29721,12,12,1,10
29722,12,12,1,6
29725,12,12,1,4
29728,12,12,1,6
29729,13,13,1,6
2973,17,12,2,2
29737,12,12,1,13
29738,13,13,1,9
29740,16,13,3,3
29744,12,12,1,9
29746,13,12,1,14
2975,11,11,1,2
29750,13,13,1,10
29752,12,12,1,4
29754,12,12,1,3
29756,11,11,1,31
29757,15,14,2,89
29759,14,13,1,14
2976,15,12,2,10
29761,12,12,1,6
29767,12,12,1,14
29768,12,12,1,6
29771,15,11,3,5
29772,14,13,1,4
29775,15,14,2,5
29776,12,12,1,4
29779,12,12,1,3
29783,12,12,1,8
29787,14,13,2,4
29791,10,10,2,0
29793,19,15,3,3
29795,12,12,1,11
29797,13,13,1,6
29799,14,13,3,98
29801,12,12,1,6
29805,12,12,1,15
2981,11,11,1,9
29812,14,14,2,11
2982,11,11,1,3
29825,12,12,1,10
29827,13,13,1,10
2983,13,11,2,3
29831,12,12,1,10
29837,12,12,1,3
29840,13,13,1,5
29842,18,14,1,11
29843,12,12,1,7
29850,14,13,1,5
29853,13,13,2,4
29855,12,12,1,6
29856,12,12,1,30
29864,13,13,2,6
29869,12,12,1,9
29877,12,12,1,8
29878,13,13,1,10
29882,14,14,2,0
29884,15,15,2,0
29886,6,6,1,143
29890,12,12,1,6
29892,18,14,4,39
29893,18,13,1,6
29895,13,13,1,15
299,12,11,2,1
29902,23,17,3,19
29903,12,12,1,16
29907,12,12,1,6
2991,11,11,1,1
29913,12,12,1,15
29919,13,13,1,6
2992,12,11,2,3
29920,12,12,1,9
29924,9,9,1,72
29926,12,12,1,7
29929,12,12,1,6
29930,12,12,1,7
29938,17,14,2,5
2994,22,18,3,1
29946,12,12,1,10
2995,15,14,2,3
29950,13,13,1,5
29955,15,12,1,8
29960,12,12,1,14
29963,23,18,2,5
29967,12,12,1,14
2997,16,15,2,7
29972,26,13,1,5
29983,18,14,1,7
29985,12,12,1,5
29988,18,14,2,5
29993,9,9,1,41
29999,12,12,1,6
3,13,11,1,67
300,15,13,2,2
30002,12,12,1,5
30006,26,13,1,13
30007,12,12,1,21
30008,12,12,1,5
30028,16,13,1,7
3003,13,11,2,1
30031,12,12,1,8
30032,12,12,1,5
30033,13,13,2,1
30034,13,13,1,19
30035,12,10,3,143
30038,12,12,1,6
30041,12,12,1,8
30045,13,12,2,5
3005,11,11,1,1
30055,9,9,1,86
30058,16,13,1,6
30061,12,12,1,6
30065,12,12,1,6
3007,14,13,2,3
30070,12,12,1,10
30078,12,12,1,3
30081,12,12,1,27
30083,9,9,1,42
30084,12,12,1,3
30085,34,16,3,6
30092,12,12,1,5
3010,15,12,4,3
30100,12,12,1,15
3011,11,11,1,4
30111,16,16,2,5
30112,14,13,2,14
30118,10,9,1,112
30119,20,14,6,150
30123,13,13,1,6
30128,13,12,1,8
30129,12,12,1,15
3013,13,11,2,2
30130,12,12,1,10
30139,14,12,2,8
30140,12,12,1,6
30142,15,13,2,4
30143,12,11,1,232
30145,12,12,1,7
30152,13,13,1,13
30158,12,12,1,8
30160,13,13,1,6
30161,13,13,2,9
30182,12,12,1,5
30186,12,12,1,13
30189,35,16,2,7
30192,19,13,2,6
30199,12,12,1,13
30200,12,12,1,14
30201,12,12,1,15
30202,12,12,1,9
30204,12,12,1,7
30206,14,13,2,6
3021,12,11,2,7
30211,12,12,1,8
30212,14,13,2,22
30214,12,12,1,9
30217,12,12,1,8
30221,15,14,2,6
30226,12,12,1,7
30228,12,12,1,14
30229,16,14,2,6
30233,12,12,1,5
30239,12,12,1,9
30242,17,13,3,6
30247,12,12,1,7
3025,12,11,2,3
30250,13,13,1,4
30254,18,14,2,188
30255,12,12,1,8
30256,21,18,2,5
3026,12,11,2,2
30260,12,12,1,5
30265,15,13,2,22
30266,12,12,1,13
30268,12,12,1,6
30269,12,12,1,5
3027,12,11,1,3
30273,12,12,1,17
3029,21,15,2,4
30297,13,13,2,22
30299,18,17,2,7
303,11,11,1,7
30301,12,12,1,8
30304,12,12,1,7
30307,9,9,1,75
30308,12,12,1,12
30311,18,13,4,91
30313,12,12,1,12
30317,12,12,1,7
3032,14,12,2,7
30320,17,14,1,9
30323,12,12,1,12
30325,25,13,1,12
30327,9,9,1,75
30329,15,15,2,0
30330,14,14,2,3
30332,12,12,1,5
30333,13,13,1,8
30341,12,12,1,4
30346,11,11,3,36
30347,12,12,1,12
30352,13,13,2,4
30353,12,12,1,27
30356,12,12,1,7
30361,13,13,2,12
30364,15,14,1,14
30366,12,12,1,5
30368,12,12,1,7
30370,16,16,1,6
30379,11,11,1,13
30381,15,13,2,7
30383,12,12,1,5
30387,12,12,1,7
30388,12,12,1,5
30389,14,13,1,6
3039,11,11,1,3
30391,12,12,1,13
30392,14,14,2,11
30393,12,12,1,5
30395,12,12,1,7
30396,14,13,1,34
304,32,11,2,3
3040,11,11,1,2
30402,13,13,1,7
30406,14,13,1,4
30408,12,12,1,7
30410,12,12,1,13
30413,12,12,1,15
30415,18,15,2,10
30416,18,15,2,0
30417,12,12,1,7
30418,14,14,1,4
30421,12,12,1,5
30423,12,12,1,7
30429,15,15,2,19
30430,17,13,1,4
30431,12,12,1,6
30433,12,12,1,6
30446,12,12,1,4
30449,15,13,2,3
30450,12,12,1,6
30454,16,15,2,0
30455,15,15,3,85
30456,12,12,1,8
30460,12,12,1,8
30461,11,11,1,7
30469,12,12,1,9
3047,12,11,2,7
30470,30,16,4,219
30479,12,12,1,7
3048,19,14,2,3
30482,21,17,2,264
30485,12,12,1,6
30497,12,12,1,9
30504,13,8,2,0
30507,16,15,2,17
30508,12,12,1,7
30514,18,13,1,12
30515,12,12,1,4
3054,11,11,1,4
30542,14,13,2,5
30549,15,12,4,163
3055,12,11,1,2
30554,12,12,1,7
30562,13,13,1,11
30565,13,13,1,15
30568,12,12,1,5
30570,22,15,3,3
30576,38,24,4,3
3058,11,11,1,9
30581,23,14,7,12
30588,12,12,1,6
3059,12,11,2,3
30594,12,12,1,16
30597,12,12,1,6
30599,16,13,2,4
30600,15,13,1,5
30604,12,12,1,14
30606,12,12,1,5
30607,15,13,2,7
30608,12,12,1,4
30614,12,12,1,5
30615,13,13,2,4
30616,12,12,1,3
30623,12,12,1,5
30624,11,11,1,176
30625,13,13,1,6
30626,13,13,1,19
3063,18,14,2,2
30630,12,12,1,4
30631,15,15,3,7
30634,25,13,1,3
30638,12,12,1,12
30642,17,12,1,13
30647,9,9,1,86
30652,12,12,1,21
30653,12,12,1,6
30655,15,13,1,3
3066,13,12,2,4
30661,13,13,1,7
30662,20,16,4,36
30667,27,13,2,5
30671,17,14,3,4
30672,12,12,1,12
30675,13,13,2,14
30676,13,13,2,6
30679,12,12,1,7
3068,12,11,1,2
30680,12,12,1,8
30682,17,12,4,63
30683,13,13,1,7
30685,12,12,1,6
3069,15,14,1,1
30691,12,12,1,12
30692,25,13,1,4
30693,13,13,1,7
30694,17,14,2,4
3070,13,11,3,2
30700,12,12,1,6
30701,11,11,1,4
30702,12,12,1,6
30718,12,12,1,8
30719,12,12,1,14
3072,39,14,4,2
30722,19,12,2,67
30723,12,12,1,5
30726,12,12,1,11
30729,16,13,3,2
3073,12,11,1,8
30731,13,13,2,5
30739,11,11,1,6
3074,13,12,1,268
30741,13,11,2,18
30749,11,11,1,7
30753,12,12,1,13
30754,14,13,1,3
30756,18,14,2,4
30760,12,12,1,11
30764,12,12,1,4
30766,18,17,3,3
30768,12,12,1,7
30771,10,9,2,0
30773,13,13,1,5
30776,13,13,2,4
30780,12,12,1,6
30781,13,13,1,7
30783,12,12,1,5
30784,12,12,1,13
30786,15,13,2,5
30793,12,12,1,11
308,11,8,3,0
3080,21,11,1,7
30805,12,12,1,6
30811,12,12,1,7
30815,14,13,1,3
30820,12,12,1,4
30827,12,12,1,5
30834,12,12,1,8
30838,12,12,1,3
30840,13,13,1,7
30841,15,12,1,12
30842,14,14,1,92
30846,12,12,1,10
30847,14,13,2,22
30849,12,12,1,6
30852,12,12,1,7
30855,12,12,1,3
30857,25,13,2,30
30861,14,13,1,6
30862,13,13,1,3
30866,12,12,1,3
30877,12,12,1,10
30878,12,12,1,2
3088,22,11,2,2
30881,25,16,3,1
30883,9,9,1,76
30885,15,14,2,10
30889,12,12,1,4
30891,13,13,2,4
30895,16,16,1,2
30897,17,15,2,10
30898,12,12,1,6
30900,20,15,1,4
30904,11,11,1,15
30908,16,13,2,10
3091,11,11,1,2
30910,12,12,1,5
30912,16,13,1,5
30914,14,13,2,0
30916,14,13,2,5
30917,15,13,2,1
30922,13,13,2,6
30923,12,12,1,10
30928,12,12,1,10
30933,12,12,1,4
30937,12,12,1,7
30938,13,13,1,6
30939,23,18,3,9
30941,12,12,1,7
30948,26,14,1,6
30950,12,12,1,3
30952,45,15,2,1
30953,12,12,1,4
30956,20,17,4,23
30960,13,13,1,4
30962,15,14,1,2
30963,13,13,1,10
30969,12,12,1,10
3097,12,12,2,2
30970,13,12,1,4
30977,13,13,1,7
30980,13,13,2,8
30982,13,13,1,10
30985,16,15,1,3
30986,12,12,1,7
30988,14,14,2,10
30989,13,11,2,249
3099,12,11,2,3
30990,12,12,1,2
30993,17,17,1,3
30994,13,13,1,3
30995,14,12,1,6
30997,13,13,1,3
31,13,11,2,0
31001,16,13,1,4
31005,12,12,1,23
31006,13,13,2,2
3101,11,11,1,5
31011,13,12,1,6
31013,11,11,2,3
31014,12,12,1,4
31018,12,12,1,20
3102,26,12,3,15
31024,14,12,1,7
31028,14,14,2,0
31029,12,12,1,4
31031,12,12,1,10
31032,12,12,1,10
31034,15,15,2,3
31035,27,24,3,7
31036,12,12,1,6
31040,12,12,1,4
31042,17,13,3,8
31043,12,12,1,3
31045,12,12,1,12
31059,12,12,1,17
31060,13,13,1,4
31063,11,11,1,10
31064,12,12,1,5
31072,12,12,1,7
31076,12,12,1,12
31077,13,13,1,6
31081,12,12,1,7
31082,12,12,1,11
31083,13,13,1,5
31087,13,12,1,10
3109,11,11,1,3
31092,13,13,1,31
31093,12,12,1,3
31096,12,12,1,12
31097,12,12,1,7
31099,12,12,1,12
311,12,11,2,0
31103,12,12,1,11
31114,16,15,2,6
31115,12,12,1,3
3112,11,11,1,21
31125,12,12,1,2
31130,15,13,2,3
31133,12,12,1,11
31134,14,14,2,3
31135,15,15,2,1
31136,16,16,2,2
31140,12,12,1,3
31141,12,12,1,3
31143,12,12,1,6
31146,12,12,1,9
31147,12,12,1,3
31155,12,12,1,2
31163,12,10,3,47
31165,40,29,5,291
31170,12,12,1,4
31172,12,12,2,0
31178,12,12,1,4
31179,13,12,2,1
31185,12,12,1,3
31186,14,13,1,588
31188,12,12,1,4
31193,12,12,1,10
31195,27,18,4,4
31197,15,13,3,0
31199,12,11,1,240
3120,15,13,3,2
31206,12,12,1,9
3121,15,13,2,3
31210,12,12,1,5
31211,14,13,1,3
31218,13,13,1,5
3122,21,15,4,339
31226,12,12,1,3
31230,13,13,1,5
31231,12,12,1,12
31238,12,12,1,11
31251,12,12,1,15
31252,12,12,1,6
31257,12,12,1,4
31268,12,12,1,9
31273,12,12,1,3
31277,13,12,1,9
3128,12,12,1,8
31281,14,13,2,5
31288,12,12,1,28
31293,12,12,1,11
313,5,5,2,54
3130,11,11,1,1
31304,12,12,1,4
31308,12,12,1,2
31311,13,13,1,5
31318,12,12,1,15
31321,12,12,1,9
31337,10,10,2,25
31338,13,13,1,10
3134,12,11,1,3
31340,14,12,1,9
31341,12,12,1,5
31344,13,13,1,15
31345,17,14,2,3
31351,12,12,1,11
31355,12,12,1,9
31358,12,12,1,3
3136,11,11,1,6
31363,12,12,1,9
31368,12,12,1,4
31373,12,12,1,6
31377,12,12,1,8
31378,17,13,3,25
31382,12,12,1,11
31383,12,12,1,11
31385,16,14,2,4
31390,11,11,1,9
31393,29,19,2,9
31396,12,12,1,2
31402,12,12,1,5
31408,13,13,1,4
31412,12,12,1,24
31416,12,12,1,9
31421,12,12,1,5
31425,13,12,2,114
31430,13,13,1,4
31433,12,12,1,3
31434,12,12,1,3
31441,13,13,2,13
31444,12,12,1,5
31446,13,13,1,8
31448,12,12,1,3
3145,12,11,2,1
31453,14,14,2,4
31454,12,12,1,5
31458,12,12,1,11
31464,12,12,1,5
31465,12,12,1,8
31466,12,12,1,9
3147,11,11,1,22
31476,12,12,1,15
31482,14,13,1,5
31486,12,12,1,6
31488,12,12,1,5
31490,13,13,1,4
315,15,14,3,0
31501,12,12,1,17
31503,30,16,5,19
31510,12,12,1,21
31511,13,13,1,10
31514,12,12,1,4
31521,12,12,1,44
31522,12,12,1,10
31523,12,12,1,9
31526,11,11,1,5
31528,14,13,1,8
31531,13,13,1,2
31537,14,14,2,10
3154,11,11,1,3
31542,12,12,1,9
31544,12,12,1,3
31552,14,13,2,17
31553,12,12,1,9
31557,13,12,2,9
31561,15,14,2,4
31564,12,12,1,5
31570,12,12,1,5
31573,12,9,1,14
31576,12,12,1,2
31579,12,12,1,9
31580,20,14,4,10
31581,12,12,1,4
3159,35,14,2,1
31591,18,15,2,4
31592,14,13,2,11
31595,12,12,1,4
31596,17,13,2,16
31598,12,12,1,4
31599,12,12,1,4
316,26,16,4,2
3160,15,14,2,16
31607,12,12,1,14
3161,12,11,2,3
31613,12,12,1,10
31614,12,12,1,4
31618,18,13,2,5
3162,13,11,2,2
31623,12,12,1,14
31626,12,12,1,4
31632,17,15,2,5
31636,12,12,1,4
31637,15,14,2,9
31638,12,12,1,14
31639,12,12,1,4
31642,14,13,1,2
31643,22,14,2,8
31647,12,12,1,9
3165,14,13,1,3
31650,12,12,1,11
31659,12,12,1,10
31662,14,13,1,3
31666,12,12,1,9
31667,9,9,1,61
3167,11,11,1,6
31675,12,12,1,10
31676,13,13,1,11
31682,13,12,1,3
31683,12,12,1,10
31684,13,13,1,9
3169,11,11,1,7
31690,19,17,2,5
31691,12,12,1,15
31693,12,12,1,9
31695,12,12,1,4
31701,12,12,1,4
31703,12,12,1,2
31704,12,12,1,11
31706,12,12,1,9
31707,12,12,1,2
31712,14,13,2,9
31717,9,9,1,79
31718,16,14,2,0
31722,12,12,1,3
31723,9,9,1,99
31724,12,12,1,9
31725,12,12,1,15
31727,12,12,1,9
31728,12,12,1,15
31729,14,13,1,4
3173,12,12,1,2
31730,12,12,1,4
31733,12,12,1,8
31736,12,12,1,7
31737,12,12,1,7
31739,9,9,1,86
3174,14,13,2,6
31741,14,14,1,8
31746,12,12,1,8
31749,12,12,1,7
31750,27,13,1,1
31757,12,12,1,3
31761,13,13,1,9
31766,14,13,1,3
3177,11,11,1,2
31770,12,12,1,39
31771,13,12,1,13
31772,12,12,1,4
31773,12,12,1,19
31782,12,12,1,13
31783,12,12,1,9
31786,15,15,1,4
31787,12,10,3,67
31788,12,12,1,3
31790,12,12,1,8
31793,13,13,1,10
31794,12,12,1,26
31795,18,13,2,63
318,29,18,5,0
31800,18,17,3,3
31804,12,12,1,23
31806,6,6,1,55
31809,12,12,1,8
31810,12,12,1,9
31816,16,13,2,4
31817,14,13,2,23
31819,13,12,1,4
31820,14,14,2,7
31822,11,11,1,9
31823,20,17,2,4
31824,12,12,1,7
31825,12,12,1,7
31826,12,12,1,8
31827,12,12,1,9
31828,15,13,2,7
31830,13,13,2,16
31831,12,12,1,4
31835,12,12,1,4
31838,12,12,1,15
31839,12,12,1,7
3184,16,15,1,156
31840,12,12,1,7
31845,13,13,1,8
31848,12,12,1,8
31849,12,12,1,9
31857,12,12,1,3
31864,12,12,1,8
31865,12,12,1,9
31868,12,12,1,15
31869,13,13,2,1
3187,34,15,5,0
31879,12,12,1,9
3188,11,11,1,6
31888,12,12,1,4
31889,13,12,1,2
31894,13,13,1,10
31895,14,13,1,14
31896,13,13,1,15
319,13,12,3,2
3190,12,11,2,11
31902,12,12,1,14
31904,15,15,2,3
31905,12,12,1,10
31907,15,13,1,9
31909,31,20,2,205
31910,12,12,1,14
31912,15,13,2,5
31916,14,14,2,7
31920,12,12,1,3
31924,12,12,1,13
31926,12,12,1,9
31928,12,12,1,4
31929,12,12,1,4
3193,11,11,1,24
31932,12,12,1,3
31934,12,12,1,10
31936,15,15,2,13
31940,29,13,2,4
31944,12,12,1,13
31949,12,12,1,8
31950,15,13,2,275
31951,12,12,1,13
31954,12,12,1,27
3196,11,11,1,23
31964,12,12,1,8
31965,12,12,1,9
31969,14,12,1,7
31970,12,12,1,9
31975,12,12,1,10
3198,21,11,1,2
31980,12,12,1,3
31981,12,12,1,4
31983,16,14,2,7
31987,12,12,1,3
31989,12,12,1,17
31993,14,14,2,2
31995,15,15,1,2
32009,22,18,2,2
32014,13,12,1,8
32017,13,12,2,13
32021,12,12,1,8
32028,14,13,3,3
32030,12,12,1,8
32031,12,12,1,8
32033,13,12,1,23
3204,16,12,3,2
32041,9,9,1,60
32047,13,13,1,10
32051,12,12,1,7
32053,12,12,1,8
32055,13,13,1,2
32057,12,12,1,8
32060,15,13,2,22
32067,13,13,2,2
32068,12,12,1,8
32070,16,16,2,8
32071,12,12,1,8
32075,14,13,2,10
32076,12,12,1,7
3208,12,12,2,2
32083,14,13,2,8
32086,10,9,1,49
3209,11,11,1,1
321,11,11,1,5
32101,12,12,1,14
3211,12,11,2,7
32110,12,12,1,13
32111,12,12,1,12
32112,33,21,4,394
32114,13,13,1,9
32115,12,12,1,8
32116,12,12,1,12
32118,12,12,1,34
32119,15,15,2,1
32120,12,12,1,7
32121,13,10,1,8
32125,12,12,1,12
32126,13,12,2,2
32127,12,12,1,8
32129,12,12,1,6
32133,13,13,1,6
32135,12,12,1,3
32138,12,12,1,7
32141,12,12,1,26
32142,13,13,1,7
32148,13,13,1,7
32149,12,12,1,7
3215,11,11,1,5
32152,12,12,1,7
32154,13,13,1,3
32161,12,12,1,12
32162,12,12,2,9
32164,12,12,1,7
3217,14,13,2,29
32171,12,12,1,45
32176,14,13,2,8
32178,9,9,1,58
32179,12,12,1,7
3218,16,13,3,5
32181,12,12,1,26
32187,24,18,3,324
32193,12,12,1,8
32197,12,12,1,8
322,17,12,2,26
32200,18,16,2,40
32209,12,12,1,17
32212,22,16,2,17
32216,12,12,1,6
32223,16,14,1,9
32230,12,12,1,6
32232,12,12,1,7
32235,14,13,3,16
32239,12,12,1,9
32245,16,14,3,0
32246,15,15,2,3
32248,12,12,1,7
3225,13,11,2,2
32251,12,12,1,7
32253,12,12,1,12
32254,14,13,1,12
32255,14,13,2,4
32259,12,12,1,2
32262,12,12,1,7
32263,12,12,1,7
32268,26,13,1,7
3227,11,11,1,2
32274,13,13,2,23
32277,12,12,1,7
32279,12,12,1,7
3228,11,11,1,20
32281,13,13,1,9
32282,14,13,1,10
32289,12,12,1,9
32293,13,12,2,22
32294,13,13,1,18
32297,13,13,1,12
32298,24,17,6,6
323,15,13,2,3
32302,12,12,1,25
32306,19,15,3,40
32308,12,12,1,7
3231,11,11,1,31
32319,12,12,1,2
32321,12,12,1,8
32323,12,12,1,8
32327,13,13,1,8
3233,11,11,1,7
32333,11,11,1,7
3234,18,14,2,24
32343,17,14,2,2
3235,11,11,1,2
32350,14,13,2,132
32355,14,13,2,6
32357,12,12,1,10
32358,14,13,2,7
32359,14,12,2,6
3236,11,11,1,5
32362,12,12,2,12
32366,14,13,1,6
32369,13,13,1,7
32370,12,12,1,12
32373,12,12,1,7
3238,25,14,6,55
32383,12,12,1,6
32384,12,12,1,10
3239,12,11,2,12
32396,14,14,2,6
32397,12,12,1,9
32398,12,12,1,7
324,11,11,1,5
32402,11,11,1,6
32405,12,12,1,7
32406,13,13,1,6
32408,12,12,1,15
32410,13,12,1,6
32413,9,9,1,76
32417,12,12,1,6
32419,24,12,1,11
32420,12,12,1,13
32423,12,12,1,6
32424,18,13,2,6
32426,27,13,1,8
32427,12,12,1,11
32436,13,13,1,11
32437,13,13,1,15
32440,12,12,1,2
32441,12,12,1,6
32447,12,12,1,6
32451,19,17,3,6
32452,12,12,1,7
32453,11,11,1,6
32454,13,12,2,4
32455,12,12,1,13
32456,14,14,1,8
32462,14,13,2,25
32465,12,12,1,8
32474,12,12,1,6
3248,28,21,2,146
32482,14,13,3,19
32487,12,12,1,6
32494,13,12,2,23
32497,12,12,1,19
325,14,14,2,2
3250,11,11,1,2
32507,14,12,1,12
32510,12,12,1,11
32512,12,12,1,16
32514,13,13,2,9
3252,11,11,1,2
32520,12,12,1,8
32521,12,12,1,7
32522,12,12,1,6
32524,12,12,1,27
32526,15,11,1,6
32532,13,13,2,6
32533,12,12,1,7
32534,12,12,1,8
32537,12,12,1,11
32547,14,12,1,6
32548,12,12,1,9
32549,14,12,1,6
3255,16,13,2,5
32550,16,13,1,6
32554,8,8,2,7
32555,13,13,3,0
